3409 3409      #   type=2000 audit(0.0:1): initialized
3409 3409  auditd type=2000 audit(0.0:1): initialized 
3521 3521  RTPServiceImpl [IMS_AP_RTP]"RTPService callback Registraton" 
3521 3527  RTPServiceImpl [IMS_AP_RTP]"ms-rtp-daemon ims_rtp_qmi_handler_thread_func >" 
3521 3521  RTPServiceImpl [IMS_AP_RTP]"[ION_RTP]Device open success" 
3521 3526  Diag_Lib [IMS_FATAL]| 3526 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3521 3526  Diag_Lib [IMS_AP_RTP]"rtp_register :: active num_users 1 " 
3520 3520  imsrcsd getAndroidPropValue : vendor.ims.modem.multisub.cap[1] 
3520 3520  imsrcsd Uce Service HAL  detected modemVersion[1] 
3520 3520  imsrcsd getAndroidPropValue : vendor.ims.rcs_version[0] 
3520 3520  imsrcsd getAndroidPropValue : vendor.ims.rcs_version[0] 
3520 3520  imsrcsd Uce Service HAL  loading imsrcsbaseimpl 
3520 3520  imsrcsd Starting Service for First Time imsbaseimpl 
3520 3520  imsrcsd ImsRcsBaseImpl CM_IMSCONNECTIONMANAGER_CREATE_CONNECTION Before Registering Service 
1552 1671  QRCSService IServiceNotification.onRegistration 
1552 1671  QRCSService Trying to get HIDL-IUceService 
3520 3520  imsrcsd ImsRcsBaseImpl CM_IMSCONNECTIONMANAGER_CREATE_CONNECTION After Registering Service 
3520 3520   [IMS_COM] |ImsCom.cpp | 53 | | 3520 |Com Fd: 7 
3520 3520   [IMS_COM] |ImsCom.cpp | 158 | | 3520 |ImsCom::addComEventHandler(int 7, ComEventCallback 0x7d01099294, void* 0x0, ComCloseCallback 0x0, events 17) EX 
3520 3520   [IMS_COM] |ImsCom.cpp | 170 | | 3520 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3520 3520   [IMS_COM] |ImsCom.cpp | 56 | | 3520 |ImsCom is ready. epollFd:6 
3520 3520   [IMS_COM] |ImsQmiSvc.cpp | 42 | | 3520 |ImsQmiSvc: Xtor  
3520 3520   [IMS_COM] |ImsQmiSvc.cpp | 44 | | 3520 |ImsQmiSvc: qmiimssvcfd : 8  
3520 3520   [IMS_COM] |ImsCom.cpp | 158 | | 3520 |ImsCom::addComEventHandler(int 8, ComEventCallback 0x7d0109de7c, void* 0x7d01625140, ComCloseCallback 0x0, events 1) EX 
3520 3520   [IMS_COM] |ImsCom.cpp | 170 | | 3520 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3520 3520  QMI_FW QMUXD: WARNING qmi_qmux_if_pwr_up_init failed! rc=-6  
3520 3520   [IMS_COM] |ImsQmiSvc.cpp | 115 | | 3520 |ImsQmiSvc: registerForQmiSvcUp  
3520 3520   [IMS_COM] |ImsQmiPrivate.cpp | 119 | | 3520 |ImsQmiPrivate Xtor 
3520 3520   [IMS_COM] |ImsCom.cpp | 158 | | 3520 |ImsCom::addComEventHandler(int 13, ComEventCallback 0x7d0109c2d0, void* 0x7d01625140, ComCloseCallback 0x0, events 1) EX 
3520 3520   [IMS_COM] |ImsCom.cpp | 170 | | 3520 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3520 3520   [IMS_COM] |ImsQmiPrivate.cpp | 226 | | 3520 |QMI IMS Private listener added 0x7d01616180 
3520 3520   ImsCallInfoService - <API SVC> registerServiceImpl: Registering for vendor.qti.ims.callinfo  
3520 3520  imsrcsd ImsRcsBaseImpl ImsCallInfo After Registering Service 
1552 1671  android_os_HwBinder HwBinder: Starting thread pool for com.qualcomm.qti.uceservice::com.qualcomm.qti.uceservice@2.0::IUceService 
1552 1671  QRCSService Received HIDL-UCEService 
1552 1671  QRCSService setHidlUceService failed 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4067 t=28.9 h=2 st=2 c=-482 fc=4961000 cc=4 chg=u 
0 0   arb_monitor_work start 
0 0   arb_monitor_work | ibus_current = 501187 uA 
0 0   arb_monitor_work | vbus_voltage = 4865392 uA 
747 779  storaged getDiskStats failed with result NOT_SUPPORTED and size 0 
0 0  QG-K qg_fifo_update_done_handler: IRQ triggered 
0 0  QG-K qg_process_fifo: FIFO length=5 
0 0  QG-K qg_process_fifo: FIFO 0 raw_v=20891 uV=4066161 raw_i=62312 uA=-491943 interval=100 count=128 
0 0  QG-K qg_process_fifo: FIFO 1 raw_v=20892 uV=4066356 raw_i=62331 uA=-489044 interval=100 count=128 
0 0  QG-K qg_process_fifo: FIFO 2 raw_v=20897 uV=4067329 raw_i=62306 uA=-492859 interval=100 count=128 
0 0  QG-K qg_process_fifo: FIFO 3 raw_v=20897 uV=4067329 raw_i=62327 uA=-489654 interval=100 count=128 
0 0  QG-K qg_process_fifo: FIFO 4 raw_v=20900 uV=4067913 raw_i=62306 uA=-492859 interval=100 count=128 
0 0  QG-K qg_fifo_update_done_handler: FIFO_done time_delta_ms=63580 
0 0  QG-K qg_awake_cb: client: FIFO_DONE_VOTER awake: 1 
0 0  QG-K qg_awake_cb: client: FIFO_DONE_VOTER awake: 0 
0 0  QG-K qg_device_read: QG device read complete Seq_no=4 Size=412 
0 0  QG-K qg_awake_cb: client: UDATA_READY_VOTER awake: 1 
0 0  QG-K qg_device_write: QG write complete size=144 
0 0  QG-K process_udata_work: udata update: QG_SOC=68 QG_SYS_SOC=6835 last_catchup_soc=68 
0 0  QG-K qg_store_soc_params: SDAM write param 0 value=1 
0 0  QG-K qg_store_soc_params: SDAM write param 1 value=68 
0 0  QG-K qg_store_soc_params: SDAM write param 2 value=289 
0 0  QG-K qg_store_soc_params: SDAM write param 3 value=104 
0 0  QG-K qg_store_soc_params: SDAM write param 4 value=4029600 
0 0  QG-K qg_store_soc_params: SDAM write param 5 value=0 
0 0  QG-K qg_store_soc_params: SDAM write param 6 value=2509463 
0 0  QG-K process_udata_work: udata update: batt_soc=6813 cc_soc=6823 full_soc=9892 qg_esr=81 
0 0  QG-K qg_awake_cb: client: UDATA_READY_VOTER awake: 0 
0 0   arb_monitor_work start 
0 0   arb_monitor_work | ibus_current = 500377 uA 
0 0   arb_monitor_work | vbus_voltage = 4867472 uA 
0 0  init Service 'vendor.ims_rtp_daemon' (pid 3521) exited with status 0 
0 0  init Sending signal 9 to service 'vendor.ims_rtp_daemon' (pid 3521) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3521 in 0ms 
0 0  init starting service 'vendor.ims_rtp_daemon'... 
0 0  init Service 'vendor.imsdatadaemon' (pid 3499) exited with status 1 
0 0  init Sending signal 9 to service 'vendor.imsdatadaemon' (pid 3499) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3499 in 0ms 
0 0  init starting service 'vendor.imsdatadaemon'... 
0 0  init Created socket '/dev/socket/ims_datad', mode 660, user 1000, group 1001 
3534 3534  RTPServiceImpl qpLogDiagInit <== result : 1; log_write_mutex is Initialized 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon main entry : 3e9" 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon bLogRTPMsgs 1, bLogRTPDataMsgs 2, bLogAdbMsgs 0" 
3534 3534  Diag_Lib [IMS_AP_RTP]"qvp_rtp_task_init" 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon listen done" 
3534 3540  Diag_Lib DPL : gIsQXDMDisabled 0, gIsADBDisabled 1, gIsDebugDisabled 0, gIsIMSLogsDisabled 0 gIsDebugDataPathDisabled = 0 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service >" 
3534 3540  Diag_Lib [IMS_AP_RTP]"qvp_rtp_handle_signals call ret qpDplInitTaskInfo 1" 
3534 3540  Diag_Lib [IMS_FATAL]| 3540 |qpNetSetReadFds - DataD IPC socket not available 
3534 3540  Diag_Lib [IMS_FATAL]| 3540 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3534 3540  Diag_Lib [IMS_FATAL]| 3540 |qpNetSetReadFds - DataD IPC socket not available 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service rc : 0" 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service service_cookie.service_handle : 0x1" 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"HIDL Service is starting." 
3534 3534  Diag_Lib bLogRTPMSgs =1,rtpdata=2,adblog=0 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"RTPService callback Registraton" 
3534 3541  RTPServiceImpl [IMS_AP_RTP]"ms-rtp-daemon ims_rtp_qmi_handler_thread_func >" 
3534 3534  RTPServiceImpl [IMS_AP_RTP]"[ION_RTP]Device open success" 
3534 3540  Diag_Lib [IMS_FATAL]| 3540 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3534 3540  Diag_Lib [IMS_AP_RTP]"rtp_register :: active num_users 1 " 
3534 3540  Diag_Lib [IMS_FATAL]| 3540 |qpdpl: qpDplMainLoop : DPL Initialize Failed, Exit 
3534 3540  Diag_Lib [IMS_AP_RTP]"qvp_rtp_sl_register_cb : app data = 1" 
3534 3540  Diag_Lib qvp_rtp_media_init  
3534 3540  Diag_Lib [IMS_AP_RTP]"qvp_rtp_dpl_init_cb: Dpl initialize Failure" 
0 0  init Service 'vendor.ims_rtp_daemon' (pid 3534) exited with status 2 
0 0  init Sending signal 9 to service 'vendor.ims_rtp_daemon' (pid 3534) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3534 in 0ms 
3535 3535  Diag_Lib qpLogDiagInit <== result : 1 
3535 3535  Diag_Lib DATAD : gIsQXDMDisabled 0, gIsADBDisabled 1, gIsDebugDisabled 0, gIsIMSLogsDisabled 0 
3535 3535  Diag_Lib [IMS_DataD] imsdatad.c | 5855 | | 3535 |DATAD#$$#0#DATAD STARTED 
3535 3535  QMI_FW QMUXD: WARNING qmi_qmux_if_pwr_up_init failed! rc=-6  
0 0  init processing action (vendor.ims.DATA_DAEMON_STATUS=1) from (/vendor/etc/init/hw/init.target.rc:287) 
0 0  init Received control message 'stop' for 'vendor.imsrcsservice' from pid: 3535 (/system/vendor/bin/imsdatadaemon) 
0 0  init Sending signal 9 to service 'vendor.imsrcsservice' (pid 3520) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3520 in 5ms 
0 0  init Service 'vendor.imsrcsservice' (pid 3520) received signal 9 
0 0  init Received control message 'start' for 'vendor.imsrcsservice' from pid: 3535 (/system/vendor/bin/imsdatadaemon) 
0 0  init starting service 'vendor.imsrcsservice'... 
0 0  init Received control message 'stop' for 'vendor.imsrcsservice' from pid: 3535 (/system/vendor/bin/imsdatadaemon) 
0 0  init Sending signal 9 to service 'vendor.imsrcsservice' (pid 3554) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3554 in 5ms 
0 0  init Received control message 'start' for 'vendor.imsrcsservice' from pid: 3535 (/system/vendor/bin/imsdatadaemon) 
0 0  init Service 'vendor.imsrcsservice' (pid 3554) received signal 9 
0 0  pmi632_charger wdog_bark_irq_handler: IRQ: wdog-bark 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_set_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_set_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  QG-K qg_status_change_work: charge_status=1 charge_done=0 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4064 t=28.9 h=2 st=2 c=-431 fc=4961000 cc=4 chg=u 
0 0   get prop 4 is not supported in usb-main 
0 0   Couldn't get prop 4 rc = -22 
0 0  pmi632_charger smblib_get_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_set_charge_param: fast charge current = 2000000 (0x28) 
0 0  pmi632_charger smblib_set_charge_param: float voltage = 4400000 (0x50) 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  QG-K qg_charge_full_update: msoc=68 health=1 charge_full=0 charge_done=0 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
1408 1408  KeyguardUpdateMonitor received broadcast android.intent.action.BATTERY_CHANGED 
1572 1572  QtiCarrierConfigHelper WARNING, no carrier configs on phone Id: 0 
2173 2317  BatteryChargeTimeManager BatteryChange receive 
2173 2317  BatteryChargeTimeManager BatteryLevel:68 BatteryStatus:2 PlugType:2 BatteryHealth:2 BatteryTemperature:289 BatteryPresent:true 
2173 2317  BatteryChargeTimeController PlugPower:true mChargerLimitEnable:false IsShow:false HasMessage:true 
2173 2316  BatteryTemperatureManager BatteryChange receive 
2173 2316  BatteryTemperatureManager BatteryLevel:68 BatteryStatus:2 PlugType:2 BatteryHealth:2 BatteryTemperature:289 BatteryPresent:true 
2173 2316  BatteryTemperatureController Send Normal Message 
2173 2316  BatteryTemperatureController PostMessageShow:false IsShowAbnormal:false 
1408 1408  KeyguardUpdateMonitor handleBatteryUpdate 
1408 1408  PowerUI xxbuckets   .....20 .. 15 .. 10 .. 5 .. 1 
1408 1408  PowerUI level          68 --> 68 
1408 1408  PowerUI status         2 --> 2 
1408 1408  PowerUI plugType       2 --> 2 
1408 1408  PowerUI invalidCharger 0 --> 0 
1408 1408  PowerUI bucket         1 --> 1 
1408 1408  PowerUI plugged        true --> true 
1408 1408  PowerUI batteryTemperature   289 
1408 1408  PowerUI charger_health 0 
1408 1408  PowerUI dismissVoltageOverWarning 
0 0  
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4064 t=28.9 h=2 st=2 c=-431 fc=4961000 cc=4 chg=u 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_dc_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4067 t=28.9 h=2 st=2 c=-474 fc=4961000 cc=4 chg=u 
0 0  pmi632_charger smblib_get_prop_batt_health: BATTERY_CHARGER_STATUS_2 = 0x08 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  pmi632_charger smblib_get_charge_param: input current limit status = 500000 (0x0a) 
0 0  pmi632_charger smblib_get_prop_usb_online: POWER_PATH_STATUS = 0x95 
0 0  healthd battery l=68 v=4067 t=28.9 h=2 st=2 c=-431 fc=4961000 cc=4 chg=u 
1572 1572  QtiCarrierConfigHelper WARNING, no carrier configs on phone Id: 0 
1408 1408  KeyguardUpdateMonitor received broadcast android.intent.action.BATTERY_CHANGED 
2173 2317  BatteryChargeTimeManager BatteryChange receive 
2173 2317  BatteryChargeTimeManager BatteryLevel:68 BatteryStatus:2 PlugType:2 BatteryHealth:2 BatteryTemperature:289 BatteryPresent:true 
2173 2317  BatteryChargeTimeController PlugPower:true mChargerLimitEnable:false IsShow:false HasMessage:true 
2173 2316  BatteryTemperatureManager BatteryChange receive 
2173 2316  BatteryTemperatureManager BatteryLevel:68 BatteryStatus:2 PlugType:2 BatteryHealth:2 BatteryTemperature:289 BatteryPresent:true 
2173 2316  BatteryTemperatureController Send Normal Message 
2173 2316  BatteryTemperatureController PostMessageShow:false IsShowAbnormal:false 
1408 1408  PowerUI xxbuckets   .....20 .. 15 .. 10 .. 5 .. 1 
1408 1408  PowerUI level          68 --> 68 
1408 1408  PowerUI status         2 --> 2 
1408 1408  PowerUI plugType       2 --> 2 
1408 1408  PowerUI invalidCharger 0 --> 0 
1408 1408  PowerUI bucket         1 --> 1 
1408 1408  PowerUI plugged        true --> true 
1408 1408  PowerUI batteryTemperature   289 
1408 1408  PowerUI charger_health 0 
1408 1408  PowerUI dismissVoltageOverWarning 
1408 1408  KeyguardUpdateMonitor handleBatteryUpdate 
0 0  init starting service 'vendor.ims_rtp_daemon'... 
3556 3556  RTPServiceImpl qpLogDiagInit <== result : 1; log_write_mutex is Initialized 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon main entry : 3e9" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon bLogRTPMsgs 1, bLogRTPDataMsgs 2, bLogAdbMsgs 0" 
3556 3556  Diag_Lib [IMS_AP_RTP]"qvp_rtp_task_init" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon listen done" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service >" 
3556 3561  Diag_Lib DPL : gIsQXDMDisabled 0, gIsADBDisabled 1, gIsDebugDisabled 0, gIsIMSLogsDisabled 0 gIsDebugDataPathDisabled = 0 
3556 3561  Diag_Lib [IMS_AP_RTP]"qvp_rtp_handle_signals call ret qpDplInitTaskInfo 1" 
3556 3561  Diag_Lib [IMS_FATAL]| 3561 |qpNetSetReadFds - DataD IPC socket not available 
3556 3561  Diag_Lib [IMS_FATAL]| 3561 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service rc : 0" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service service_cookie.service_handle : 0x1" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"HIDL Service is starting." 
3556 3556  Diag_Lib bLogRTPMSgs =1,rtpdata=2,adblog=0 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"RTPService callback Registraton" 
3556 3562  RTPServiceImpl [IMS_AP_RTP]"ms-rtp-daemon ims_rtp_qmi_handler_thread_func >" 
3556 3556  RTPServiceImpl [IMS_AP_RTP]"[ION_RTP]Device open success" 
3556 3561  Diag_Lib [IMS_FATAL]| 3561 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3556 3561  Diag_Lib [IMS_AP_RTP]"rtp_register :: active num_users 1 " 
0 0  init starting service 'vendor.imsrcsservice'... 
3565 3565  imsrcsd Uce Service HAL  is starting up... 
3565 3565  imsrcsd getAndroidPropValue : vendor.ims.DATA_DAEMON_STATUS[1] 
0 0  pmi632_charger default_irq_handler: IRQ: aicl-done 
0 0  AICL STATUS(1106) a a a a 41 
0 0   arb_monitor_work start 
0 0   arb_monitor_work | ibus_current = 501025 uA 
0 0   arb_monitor_work | vbus_voltage = 4869536 uA 
3565 3565  imsrcsd getAndroidPropValue : vendor.ims.modem.multisub.cap[1] 
3565 3565  imsrcsd Uce Service HAL  detected modemVersion[1] 
3565 3565  imsrcsd getAndroidPropValue : vendor.ims.rcs_version[0] 
3565 3565  imsrcsd getAndroidPropValue : vendor.ims.rcs_version[0] 
3565 3565  imsrcsd Uce Service HAL  loading imsrcsbaseimpl 
3565 3565  imsrcsd Starting Service for First Time imsbaseimpl 
3565 3565  imsrcsd ImsRcsBaseImpl CM_IMSCONNECTIONMANAGER_CREATE_CONNECTION Before Registering Service 
1552 1671  QRCSService IServiceNotification.onRegistration 
1552 1671  QRCSService Trying to get HIDL-IUceService 
3565 3565  imsrcsd ImsRcsBaseImpl CM_IMSCONNECTIONMANAGER_CREATE_CONNECTION After Registering Service 
3565 3565   [IMS_COM] |ImsCom.cpp | 53 | | 3565 |Com Fd: 7 
3565 3565   [IMS_COM] |ImsCom.cpp | 158 | | 3565 |ImsCom::addComEventHandler(int 7, ComEventCallback 0x7f58cd2294, void* 0x0, ComCloseCallback 0x0, events 17) EX 
3565 3565   [IMS_COM] |ImsCom.cpp | 170 | | 3565 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3565 3565   [IMS_COM] |ImsCom.cpp | 56 | | 3565 |ImsCom is ready. epollFd:6 
3565 3565   [IMS_COM] |ImsQmiSvc.cpp | 42 | | 3565 |ImsQmiSvc: Xtor  
3565 3565   [IMS_COM] |ImsQmiSvc.cpp | 44 | | 3565 |ImsQmiSvc: qmiimssvcfd : 8  
3565 3565   [IMS_COM] |ImsCom.cpp | 158 | | 3565 |ImsCom::addComEventHandler(int 8, ComEventCallback 0x7f58cd6e7c, void* 0x7f59225140, ComCloseCallback 0x0, events 1) EX 
3565 3565   [IMS_COM] |ImsCom.cpp | 170 | | 3565 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3565 3565  QMI_FW QMUXD: WARNING qmi_qmux_if_pwr_up_init failed! rc=-6  
3565 3565   [IMS_COM] |ImsQmiSvc.cpp | 115 | | 3565 |ImsQmiSvc: registerForQmiSvcUp  
3565 3565   [IMS_COM] |ImsQmiPrivate.cpp | 119 | | 3565 |ImsQmiPrivate Xtor 
3565 3565   [IMS_COM] |ImsCom.cpp | 158 | | 3565 |ImsCom::addComEventHandler(int 13, ComEventCallback 0x7f58cd52d0, void* 0x7f59225140, ComCloseCallback 0x0, events 1) EX 
3565 3565   [IMS_COM] |ImsCom.cpp | 170 | | 3565 |ImsCom::addComEventHandler epoll_ctl returns: 0 
3565 3565   [IMS_COM] |ImsQmiPrivate.cpp | 226 | | 3565 |QMI IMS Private listener added 0x7f59216180 
3565 3565   ImsCallInfoService - <API SVC> registerServiceImpl: Registering for vendor.qti.ims.callinfo  
3565 3565  imsrcsd ImsRcsBaseImpl ImsCallInfo After Registering Service 
1552 1671  android_os_HwBinder HwBinder: Starting thread pool for com.qualcomm.qti.uceservice::com.qualcomm.qti.uceservice@2.0::IUceService 
1552 1671  QRCSService Received HIDL-UCEService 
1552 1671  QRCSService setHidlUceService failed 
1572 1618    
1572 1618  SubscriptionController [getActiveSubInfoList] Sub Controller not ready 
1572 1866  SST [0] SST.getAllCellInfo(): not implemented 
1572 1866  SST [0] SST.getAllCellInfo(): X size=0 list=null 
1572 1866  LocaleTracker getCellInfo: cell info=null 
1572 1866  LocaleTracker Can't get cell info. Try again in 256 secs. 
1572 1866  LocaleTracker updateLocale: mcc = null, country =  
0 0   arb_monitor_work start 
0 0   arb_monitor_work | ibus_current = 500377 uA 
0 0   arb_monitor_work | vbus_voltage = 4867472 uA 
0 0  init Service 'vendor.ims_rtp_daemon' (pid 3556) exited with status 0 
0 0  init Sending signal 9 to service 'vendor.ims_rtp_daemon' (pid 3556) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3556 in 0ms 
0 0  init starting service 'vendor.ims_rtp_daemon'... 
0 0  init Service 'vendor.imsdatadaemon' (pid 3535) exited with status 1 
0 0  init Sending signal 9 to service 'vendor.imsdatadaemon' (pid 3535) process group... 
0 0  libprocessgroup Successfully killed process cgroup uid 1000 pid 3535 in 0ms 
0 0  init starting service 'vendor.imsdatadaemon'... 
0 0  init Created socket '/dev/socket/ims_datad', mode 660, user 1000, group 1001 
3572 3572  RTPServiceImpl qpLogDiagInit <== result : 1; log_write_mutex is Initialized 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon main entry : 3e9" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"RTP Daemon bLogRTPMsgs 1, bLogRTPDataMsgs 2, bLogAdbMsgs 0" 
3572 3572  Diag_Lib [IMS_AP_RTP]"qvp_rtp_task_init" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon listen done" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service >" 
3572 3578  Diag_Lib DPL : gIsQXDMDisabled 0, gIsADBDisabled 1, gIsDebugDisabled 0, gIsIMSLogsDisabled 0 gIsDebugDataPathDisabled = 0 
3572 3578  Diag_Lib [IMS_AP_RTP]"qvp_rtp_handle_signals call ret qpDplInitTaskInfo 1" 
3572 3578  Diag_Lib [IMS_FATAL]| 3578 |qpNetSetReadFds - DataD IPC socket not available 
3572 3578  Diag_Lib [IMS_FATAL]| 3578 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3572 3578  Diag_Lib [IMS_FATAL]| 3578 |qpNetSetReadFds - DataD IPC socket not available 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service rc : 0" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"ims-rtp-daemon qmi_rtp_register_service service_cookie.service_handle : 0x1" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"HIDL Service is starting." 
3572 3572  Diag_Lib bLogRTPMSgs =1,rtpdata=2,adblog=0 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"RTPService callback Registraton" 
3572 3579  RTPServiceImpl [IMS_AP_RTP]"ms-rtp-daemon ims_rtp_qmi_handler_thread_func >" 
3572 3572  RTPServiceImpl [IMS_AP_RTP]"[ION_RTP]Device open success" 
3572 3578  Diag_Lib [IMS_FATAL]| 3578 |qpCheckSockEventsOnNetConnProfiles : pNetConnProfileArray NULL 
3572 3578  Diag_Lib [IMS_AP_RTP]"rtp_register :: active num_users 1 " 
